"scale","abundance_type","region","species","cuid","cu_name_pse","year","perc_anom"
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2015,-15.9
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2016,-34.7
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2017,-34.9
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2018,-28
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2019,-43.7
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2020,-48.3
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1985,NA
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1986,NA
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1987,NA
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1988,NA
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1989,-37
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1990,-33.1
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1991,-31.3
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1992,0.4
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1993,9
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1994,24
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1995,49.1
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1996,113.5
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1997,169.9
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1998,160.1
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",1999,114.2
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2000,98.9
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2001,121.1
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2002,63.8
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2003,52.9
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2004,61.1
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2005,65.9
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2006,54.4
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2007,32.7
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2008,46.6
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2009,42.4
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2010,34.4
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2011,6.5
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2012,-8.8
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2013,-20.6
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2014,-26.1
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2015,-35.8
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2016,-49.7
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2017,-43.4
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2018,-39.8
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2019,-47
"ConservationUnit","spawner","Skeena","Chinook",212,"Upper Skeena",2020,-53.9
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1985,NA
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1986,NA
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1987,NA
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1988,NA
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1989,-17.2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1990,-7.2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1991,-2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1992,24
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1993,23
